Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
1963-07,-1.0784,-0.6851,-1.1211,-0.0442,0.4928,-1.6215
1963-08,4.4536,4.4942,5.7902,5.4111,4.6924,7.478799999999999
1963-09,-2.8511,-0.5304999999999999,-2.0329,-1.0686,-1.7131,-1.8902
1963-10,0.9896,1.7372,2.7197,3.8506,1.2648,2.044
1963-11,-2.8797,-1.2668,-0.3644999999999999,-0.2567999999999999,-1.4638,0.687
1963-12,0.4892,0.5314999999999999,0.1904,2.0555,3.0877,1.9346
1964-01,0.6532,2.6379,3.9788,2.6599,2.7212,2.6018
1964-02,1.5733,2.1454,4.1725,1.4331,1.662,4.4486
1964-03,0.6067,4.0404,5.1458,0.9127,3.0691,2.9608
1964-04,-1.7676,-0.2646999999999999,-1.4492,0.4142,1.148,-0.9934
1964-05,0.9884,1.1774,2.0565,1.5112,1.1573,4.0629
1964-06,1.3012,1.3129,2.0239,1.6815,1.3286,2.3183
1964-07,1.5142,3.0164,2.6349,1.9125,2.3249,2.3638
1964-08,-1.4869,-0.4012,-1.2893,-1.3658,-0.4338,-1.4187
1964-09,3.3759,2.8978,3.579,2.3215,3.8639,5.5555
1964-10,1.0985,1.5774,2.32,0.4878,1.6456,1.4164
1964-11,-0.1618,-0.3407999999999999,-0.0094,0.5339,0.7853,-3.6933
1964-12,0.3617,-0.8321,-1.4481,1.0935,-0.3454999999999999,-1.9547
1965-01,7.0052,5.8546,6.5866,3.4309,3.7336,4.5749
1965-02,3.7257,3.4014,4.1917,0.2044999999999999,0.997,0.1870999999999999
1965-03,0.8857,0.7378,1.5126,-1.3081,-1.2674,0.3563
1965-04,3.1225,4.3997,5.2849,3.6104,2.8531,2.913
1965-05,-0.2119999999999999,-0.8596,-1.3247,-0.2864999999999999,0.1087,-2.2809
1965-06,-9.6994,-8.8537,-8.6234,-4.2723,-5.8004,-4.8961
1965-07,2.5334,3.0779,4.1223,1.3372,1.6739,4.1335
1965-08,6.6434,5.0613,5.0617,2.9027,2.8005,2.5164
1965-09,3.8913,3.8055,3.803,3.7838,2.2156,3.5956
1965-10,5.9604,5.4374,6.3737,2.8074,1.9263,5.4895
1965-11,4.0949,4.8026,4.7078,-0.0145,-0.1305999999999999,-0.3071999999999999
1965-12,3.8022,3.3468,4.8627,0.8434,0.8897,4.0745
1966-01,4.7106,5.6545,6.9166,-0.1726,1.2234,4.156
1966-02,3.7479,3.1552,3.4164,-1.6328,-0.8175,-0.5483
1966-03,-0.4628999999999999,-2.9401,-2.2547,-1.5523,-2.6787,-4.0116
1966-04,5.6228,4.6937,5.8245,2.46,1.8167,1.5436
1966-05,-9.9766,-9.9048,-10.3469,-4.2183,-5.1393,-7.056
1966-06,0.8043,0.0827999999999999,-0.0465,-1.9959,-0.0631,-0.1592
1966-07,-2.0652,-1.6936,-0.7244,-1.6456,-0.6162999999999998,-1.1729
1966-08,-11.2031,-9.8123,-10.48,-7.687,-6.6209,-7.4174
1966-09,-1.9427,-0.9419,-1.4492,-0.9897,0.1870999999999999,-0.5136
1966-10,-3.7612,-0.2005,-0.1552,3.3203,7.1579,5.1994
1966-11,7.389599999999999,4.5782,2.4075,3.701,-0.9596,-0.5803
